Movie_Title,Release_Year,Rating,Movie_URL
Princess Diaries,2001,3 Stars,../filmdata/p_films/princess_diaries.htm
Rat Race,2001,3 Stars,../filmdata/r_films/rat_race.htm
"Royal
    Tenebaums",2001,3 Stars,../filmdata/r_films/royal_tenenbaums.htm
Serendipity,2001,3 Stars,../filmdata/s_films/serendipity.htm
"Sexy
    Beast",2001,3 Stars,../filmdata/s_films/sexy_beast.htm
Scary Movie 2,2001,3 Stars,../filmdata/s_films/scary_movie_2.htm
Shrek,2001,3 Stars,../filmdata/s_films/shrek.htm
Shipping News,2001,3 Stars,../filmdata/s_films/shipping_news.html
Snow White,2001,3 Stars,../filmdata/s_films/snow_white.html
Spirited Away,2001,3 Stars,../filmdata/s_films/spirited_away.htm
Spy Kids,2001,3 Stars,../filmdata/s_films/spy_kids.html
Sugar And Spice,2001,3 Stars,../filmdata/s_films/sugar_and_spice.html
Swordfish,2001,3 Stars,../filmdata/s_films/swordfish.htm
Taking Sides,2001,3 Stars,../filmdata/t_films/taking-sides.htm
Three Blind Mice,2001,3 Stars,../filmdata/t_films/three_blind_mice.html
Triumph Of Love,2001,3 Stars,../filmdata/t_films/triumph_of_love.htm
War Bride,2001,3 Stars,../filmdata/w_films/war_bride.html
Wedding Planner,2001,3 Stars,../filmdata/w_films/wedding_planner.htm
Zoolander,2001,3 Stars,../filmdata/z_films/zoolander.htm
A Beautiful Mind,2001,3 Stars,../filmdata/b_films/beautiful_mind.htm
"The
    Lord Of The Rings: Fellowship Of The Ring",2001,,../filmdata/l_films/lord_of_the_rings_1.htm
Moulin Rouge,2001,,../filmdata/m_films/moulin_rouge.htm
"Denzel
        Washington",2001,,../actor/w_actor/washington-denzel.htm
"Russell
    Crowe",2001,,../actor/c_actor/crowe_russell.htm
Sean Penn,2001,,../actor/p_actor/penn-sean.htm
Will Smith,2001,,../actor/s_actor/smith_will.htm
Tom Wilkinson,2001,,../actor/w_actor/wilkinson_tom.htm
"Halle
        Berry",2001,,../actress/b_actress/berry_halle.htm
"Judi
    Dench",2001,,../actress/d_actress/dench_judi.htm
Nicole Kidman,2001,,../actress/k_actress/kidman_nicole.htm
Sissy Spacek,2001,,../actress/s_actress/spacek_sissy.htm
Renee Zellweger,2001,,../actress/z_actress/zellweger_rene.htm
"Bridget Jones's
    Diary",2001,,../filmdata/b_films/bridget_jones_diary.htm
28 Days Later,2002,4 Stars,../filmdata/1_films/28-days-later.htm
About A Boy,2002,4 Stars,../filmdata/a_films/about_a_boy.htm
Adventures of Pluto Nash,2002,4 Stars,../filmdata/a_films/adventures_of_pluto_nash.htm
